QID,Question_Text,Source_Sheet
AR_01,"Are OAuth2 or OIDC delegation flows utilized so that long-running AI agents must cryptographically 'refresh' their authority via a trusted identity broker, preventing infinite execution?",MAIN QUESTIONS
AR_02,Are SIEM (Security Information and Event Management) rules specifically tuned to flag anomalous velocity or temporal patterns from identities marked as 'AI Agents'?,MAIN QUESTIONS
AR_03,"What percentage of AI systems have implemented Just-In-Time (JIT) access provisioning, ensuring AI agents possess zero default permissions until cryptographically challenged for a specific, ephemeral task??",MAIN QUESTIONS
AR_04,What percentage of specialized smaller Language Models (SLMs) deployed purely as pre-execution 'classifiers' to identify malicious prompt topologies before the input reaches the core execution LLM??,MAIN QUESTIONS
AR_05,Is your output filter capable of detecting “Model Inversion” or “Membership Inference” attacks?,MAIN QUESTIONS
AR_06,"How does your gateway handle provider credentials (e.g., OpenAI API keys) without exposing them to the “Autonomous Agent” or “End User”?",MAIN QUESTIONS
AR_07,Does your API connectivity layer protect against Server-Side Request Forgery (SSRF) when the AI decides to call an external tool?,MAIN QUESTIONS
AR_08,Can your gateway restrict an AI agent’s API access based on the “Task Context” rather than static permissions?,MAIN QUESTIONS
AR_09,Are you validating the integrity of the tools provided to the AI through protocols such as MCP?,MAIN QUESTIONS
AR_10,Are Quality of Service (QoS) networking rules deployed to prioritize synchronous human-in-the-loop inference traffic over asynchronous batch processing?,MAIN QUESTIONS
AR_11,"Does the rate-limiting logic dynamically adjust based on model token cost, enforce global FinOps quotas, and distinguish between input/output tokens to maintain per-identity fairness without GPU starvation?",MAIN QUESTIONS
AR_12,"What percentage of AI systems have dynamic cost-routing implemented to seamlessly downgrade user requests to cheaper, smaller models (SLMs) when premium token budgets are exhausted??",MAIN QUESTIONS
AR_13,"Does the automated ingestion system rigorously verify legal rights, user consent, and third-party license metadata (e.g., from Hugging Face) to prevent the legal 'poisoning' of the training pipeline?",MAIN QUESTIONS
AR_14,"Can the system provide a cryptographically verifiable 'birth certificate' for every data point, enabling regulators to programmatically trace a specific AI output back through the model version to the exact raw data used?",MAIN QUESTIONS
AR_15,"Are dynamic data-contract schemas enforced at the API boundary, immediately rejecting third-party payloads that lack cryptographically signed consent or licensing tokens?",MAIN QUESTIONS
AR_16,Is an append-only distributed ledger (or equivalent tamper-evident log) utilized to record all manual human-in-the-loop modifications to the training datasets?,MAIN QUESTIONS
AR_17,"Does the architecture technically enforce logical separation between 'System Instructions' and 'User-Provided Data' at the token level, explicitly classifying and defending against overriding 'System Prompt' injections?",MAIN QUESTIONS
AR_18,Do you have automated mechanisms in place to classify and block user intent that specifically targets “jailbreaking” or safety-filter bypass?,MAIN QUESTIONS
AR_19,"Are automated application circuit breakers configured to return standardized, hardcoded 'canned responses' when the LLM times out or exhibits erratic token generation, masking the failure from the end user?",MAIN QUESTIONS
AR_20,Are inline Data Loss Prevention (DLP) proxies deployed specifically to intercept and analyze LLM generation streams token-by-token for sensitive data exfiltration?,MAIN QUESTIONS
AR_21,"Are specialized, locally hosted Named Entity Recognition (NER) models used to perform redaction, ensuring sensitive PII is never transmitted to a third-party API for cleaning?",MAIN QUESTIONS
AR_22,How do you handle residual risk if a piece of sensitive data bypasses the filter?,MAIN QUESTIONS
AR_23,"Does the application enforce strict 'Control Plane' vs 'Data Plane' network separation for LLM calls, ensuring user data can never be evaluated as executable code by the model?",MAIN QUESTIONS
AR_24,Are all documents retrieved via RAG subjected to a secondary 'content sanitization' pass to strip out invisible Unicode characters or steganographic instructions before entering the model's context window?,MAIN QUESTIONS
AR_25,"Are the documented false positive and false negative rates available for your detector, and how does the system behave when a detection “hit” occurs?",MAIN QUESTIONS
AR_26,"Are statistical anomaly detection thresholds dynamically calibrated using unsupervised learning rather than static rules, ensuring resilience against 'slow-burn' or coordinated data poisoning campaigns?",MAIN QUESTIONS
AR_27,"Is a pre-ingestion 'privacy buffer' implemented that automatically redacts PII, masks secret fields like SSNs, and minimizes user prompt data before it reaches the primary AI storage or RAG context window?",MAIN QUESTIONS
AR_28,"Is the AI agent's web-scraping environment completely isolated within a disposable, ephemeral sandbox to prevent malicious payloads from pivoting into the corporate intranet?",MAIN QUESTIONS
AR_29,Are endpoint Data Loss Prevention (DLP) agents tuned to intercept and block the pasting of classified code snippets or financial data directly into web-based AI prompt interfaces?,MAIN QUESTIONS
AR_30,"What percentage of AI systems have enforced immutable pipelines by automatically quarantining data that violates schema formatting, maintaining transparent audit trails of modifications, and storing gold-standard training sets in WORM (Write Once, Read Many) storage??",MAIN QUESTIONS
AR_31,"Are automated circuit breakers implemented to monitor real-time token velocity and cost per resolution, instantly terminating AI agent sessions if they enter infinite recursive loops or trigger unexpected cost spikes?",MAIN QUESTIONS
AR_32,"Are secure enclaves or Trusted Execution Environments (TEEs) used to process encrypted model weights in memory, protecting them from a compromised hypervisor?",MAIN QUESTIONS
AR_33,Do you have hard-coded geofencing that prevents AI data from being replicated to servers outside your legal jurisdiction?,MAIN QUESTIONS
AR_34,"Does the storage layer support identity-based decryption and Hold Your Own Key (HYOK)/Customer Managed Keys (CMK) encryption, ensuring data and model weights remain unreadable until a verified user requests access?",MAIN QUESTIONS
AR_35,Are Object Lock capabilities or retention policies strictly enforced at the cloud bucket level to mathematically guarantee data immutability against compromised admin credentials?,MAIN QUESTIONS
AR_36,"Is the vector database logically isolated from public-facing APIs, and does the repository utilize technologies like Private Information Retrieval (PIR) to mitigate inference-based reconstruction attacks?",MAIN QUESTIONS
AR_37,"Are transformation steps applied separately to training and test sets to prevent data leakage, and is information entropy monitored to ensure crucial nuances are not stripped away during compression or scaling?",MAIN QUESTIONS
AR_38,Are techniques like Synthetic Minority Over-sampling Technique (SMOTE) strictly audited to ensure they do not introduce hallucinated representations of underrepresented classes?,MAIN QUESTIONS
AR_39,Have you tested whether your transformed embeddings can be mathematically reversed to reconstruct the original sensitive PII?,MAIN QUESTIONS
AR_40,"Are dedicated boolean flags for 'NULL Imputation' appended to feature vectors, ensuring the model's attention mechanism can differentiate between empirical and guessed values?",MAIN QUESTIONS
AR_41,"Is deterministic build reproducibility enforced for the data engineering pipeline, ensuring identical ETL outputs can be mathematically generated from the same raw input?",MAIN QUESTIONS
AR_42,Does your pipeline include an input sanitization layer that strips out hidden characters or noise designed to trigger an adversarial attack?,MAIN QUESTIONS
AR_43,Are automated Mutual Information scores calculated between raw data and resultant embeddings to mathematically verify that structural meaning was not lost during vectorization?,MAIN QUESTIONS
AR_44,Are vector similarity search logs retained immutably to prove exactly which RAG context chunks were injected into the LLM during a specific inference event?,MAIN QUESTIONS
AR_45,"Is the data catalog integrated with real-time event buses (e.g., Kafka) to stream schema-change notifications instantly rather than relying on batch overnight scans?",MAIN QUESTIONS
AR_46,"Are dynamic IAM policies directly tethered to metadata tags, ensuring access is automatically revoked if a dataset is reclassified to a higher sensitivity tier?",MAIN QUESTIONS
AR_47,"Is every AI-ready data asset assigned to a human data steward, supported by mature data quality governance practices, and requiring mandatory human review for quality exceptions prior to high-risk model ingestion?",MAIN QUESTIONS
AR_48,"Does the data catalog utilize automated scanning to discover shadow PII, tag synthetic or imputed values, and instantly flag outdated knowledge/stale metadata when underlying schemas change?",MAIN QUESTIONS
AR_49,"Are strict usage policies (e.g., 'Do not use for credit scoring') and data classification labels persistently embedded in asset metadata, remaining attached across cloud systems and programmatically enforced?",MAIN QUESTIONS
AR_50,"Are drift-detection algorithms continuously calibrated against dynamic, rolling baselines rather than static historical data to prevent alert fatigue and false positive degradation?",MAIN QUESTIONS
AR_51,Does the organization possess an automated e-Discovery capability specifically designed to extract and freeze relevant training data subsets subject to legal litigation holds?,MAIN QUESTIONS
AR_52,Do you have a quality gate that prevents AI-generated (synthetic) data from accidentally looping back into your training sets?,MAIN QUESTIONS
AR_53,Are data-quality anomaly events automatically routed to a centralized quarantine queue that cryptographically locks the data from the training pipeline until human sign-off is logged?,MAIN QUESTIONS
AR_54,"Are data access policies dynamic, utilizing metadata filtering, Zero Trust architectures, and explicit entitlement layers to continuously evaluate user intent and risk, preventing cross-tenant retrieval and restricting inference of sensitive relationships?",MAIN QUESTIONS
AR_55,Are adversarial perturbations injected into the ETL pipeline testing framework to verify that data cleansing logic is mathematically robust against edge cases?,MAIN QUESTIONS
AR_56,Is Mandatory Access Control (MAC) utilized at the OS or hypervisor level to enforce data tags regardless of application-level permissions?,MAIN QUESTIONS
AR_57,"Are dynamic Key Management Service (KMS) policies mapped directly to OAuth tokens, ensuring decryption keys are only minted ephemerally for the duration of a specific API call?",MAIN QUESTIONS
AR_58,Are database queries executed by AI agents routed through an active Data Loss Prevention (DLP) or masking proxy to redact PII automatically before the agent can ingest the rows?,MAIN QUESTIONS
AR_59,Are dynamic 'Proof of Work' challenges or cryptographic client-attestations required at the API edge to mathematically exhaust the compute resources of automated botnets attempting to scrape AI endpoints?,MAIN QUESTIONS
AR_60,Is a prompt firewall or inspection proxy deployed at the API level to specifically inspect and block 'indirect prompt injections' originating from external RAG databases or web searches?,MAIN QUESTIONS
AR_61,"Are API tokens issued to AI agents strictly short-lived (expiring in minutes), bounded by geographic/IP restrictions, and architected to cleanly terminate even if the AI is executing a long-running task?",MAIN QUESTIONS
AR_62,Is dynamic API schema validation enforced at the API gateway to automatically reject inbound requests that attempt to exploit deprecated or undocumented AI endpoint parameters?,MAIN QUESTIONS
AR_63,"What percentage of comprehensive DLP controls deployed to monitor AI inputs/outputs, actively inspecting egress data, blocking massive unauthorized data transfers, and preventing models from pulling thousands of rows when only a single record was requested??",MAIN QUESTIONS
AR_64,"When input drift alerts trigger, is there an automated 'safe degradation' protocol that routes anomalous inputs to a human-in-the-loop (HITL) queue rather than allowing the model to hallucinate a response?",MAIN QUESTIONS
AR_65,Are automated Root Cause Analysis (RCA) scripts deployed to immediately map hallucinated outputs to the specific poisoned or degraded data nodes in the ingestion pipeline?,MAIN QUESTIONS
AR_66,Does the orchestration engine utilize deterministic graph-cycle detection to identify and halt cyclic reasoning patterns in multi-agent chains?,MAIN QUESTIONS
AR_67,Are automated 'Time-to-Live' (TTL) expiry flags embedded within vector embeddings to mathematically ensure the LLM cannot retrieve or reason upon functionally deprecated business data?,MAIN QUESTIONS
AR_68,"Does the system monitor the semantic intent of autonomous agents—validating that intended actions (e.g., executing a transaction, sending an email) strictly match the user's original request and remain within predefined policy envelopes?",MAIN QUESTIONS
AR_69,Do you automatically run a gold standard test suite against your pipeline every hour to ensure updates have not introduced new biases?,MAIN QUESTIONS
AR_70,"Is your AI data monitoring integrated into your central IT single pane of glass (e.g., OpenTelemetry) rather than sitting in a siloed tool?",MAIN QUESTIONS
AR_71,Do your AI accelerators have mitigations against GATEBLEED or similar side-channel attacks that leak training data via power-gating fluctuations?,MAIN QUESTIONS
AR_72,Have you allocated at least 75% of your compute budget for inference (serving) rather than just training?,MAIN QUESTIONS
AR_73,"If your cloud provider faces a three-month GPU shortage (like the “2025 Crunch”), can you switch to an alternative cluster or on-premises hardware in under 48 hours?",MAIN QUESTIONS
AR_74,Does your compute layer have hardware-level mitigations against power-fluctuation side-channel attacks that can leak training data?,MAIN QUESTIONS
AR_75,Are you using dynamic GPU partitioning (sharing one GPU for many small tasks) rather than locking a full GPU for every job?,MAIN QUESTIONS
AR_76,Does the infrastructure verify the cryptographic signature of the GPU/TPU firmware every time it reboots?,MAIN QUESTIONS
AR_77,"Are hardcoded 'Maximum Step' boundaries injected into the agent's system prompt, strictly limiting the number of tool invocations allowed per session?",MAIN QUESTIONS
AR_78,Is your compute architecture optimized for inference (low latency) separately from training (high throughput)?,MAIN QUESTIONS
AR_79,Does your network use RDMA (Remote Direct Memory Access) to bypass the CPU and move data directly from storage to GPU memory?,MAIN QUESTIONS
AR_80,Can your storage layer ingest a full model checkpoint (terabytes of data) in under 60 seconds without pausing the training cluster?,MAIN QUESTIONS
AR_81,"Is your storage architecture disaggregated, allowing you to scale capacity (petabytes) independently of compute performance (IOPS)?",MAIN QUESTIONS
AR_82,"Is a unified Data Mesh architecture implemented, allowing federated AI domains to securely query versioned datasets without requiring physical data duplication?",MAIN QUESTIONS
AR_83,Are cloud-native billing alerts hard-wired to instantly sever network egress routes if outbound data transfer costs spike anomalously?,MAIN QUESTIONS
AR_84,"Are you using NVMe-over-Fabrics (NVMe-oF) for all hot training data, with automated tiering to cold object storage for archived models?",MAIN QUESTIONS
AR_85,Does your orchestrator automatically place distributed training jobs on nodes with the shortest physical interconnect distance?,MAIN QUESTIONS
AR_86,Do you use admission controllers (such as Kyverno or OPA) to automatically block any AI pod that lacks resource limits or approved security tags?,MAIN QUESTIONS
AR_87,"Does the MLOps pipeline enforce 'immutable infrastructure' principles, preventing direct SSH or console access to production AI nodes to eliminate entirely the possibility of manual configuration drift?",MAIN QUESTIONS
AR_88,Are cryptographic attestations or Trusted Execution Environments (TEEs) used to mathematically guarantee data-in-use privacy when processing highly sensitive datasets on shared cloud GPU infrastructure?,MAIN QUESTIONS
AR_89,Does your orchestration layer automatically restart failed jobs from the last successful checkpoint without human intervention?,MAIN QUESTIONS
AR_90,Are your AI workloads running in Trusted Execution Environments (hardware enclaves) to protect data and model weights from being viewed by the cloud provider or host OS?,MAIN QUESTIONS
AR_91,"Do you have automated infrastructure blocks that prevent any AI system from starting if it does not meet specific compliance tags (e.g., “High-Risk AI” per EU AI Act)?",MAIN QUESTIONS
AR_92,"Is an automated 'kill switch' API explicitly mapped to every unique AI agent identity, allowing the SOC to instantly terminate a rogue agent without disrupting standard human operations?",MAIN QUESTIONS
AR_93,"Are system logs (access, training, inference, and operational data) stored in an immutable, tamper-proof vault with automated compliance reporting, preventing alteration even by a system administrator?",MAIN QUESTIONS
AR_94,"Are zero-trust network policies configured to 'default deny' all egress traffic from GPU nodes, requiring explicit, whitelisted justification for any external API or database call?",MAIN QUESTIONS
AR_95,Are purpose-built LLM Web Application Firewalls (AI-WAF) deployed at the API gateway layer to detect and block semantic data-extraction payloads in real-time?,MAIN QUESTIONS
AR_96,"During vector database re-indexing, are 'Blue/Green' deployment strategies utilized to ensure zero downtime and permit immediate rollback if the new embedding space degrades retrieval accuracy?",MAIN QUESTIONS
AR_97,"Is all ingested knowledge-base data subjected to an automated pre-computation sanitization pipeline that strips executable code, hidden text, and known adversarial triggers before vectorization?",MAIN QUESTIONS
AR_98,Are advanced anonymization techniques like k-anonymity or differential privacy mathematically applied to the embeddings prior to their insertion into the vector database?,MAIN QUESTIONS
AR_99,Are strict Time-to-Live (TTL) attributes embedded in RAG vector embeddings to mathematically ensure the LLM cannot query functionally deprecated business logic?,MAIN QUESTIONS
AR_100,Are cryptographic Row-Level Security (RLS) policies hardcoded into the vector database to mathematically ensure models cannot query embeddings outside the user's explicit authorization scope?,MAIN QUESTIONS
AR_101,"Is the RAG architecture designed with strict physical namespace isolation (e.g., dedicated indexes) per tenant, structurally preventing accidental cross-tenant data blending?",MAIN QUESTIONS
AR_102,Are automated CI/CD pipelines configured to execute deterministic regression tests against LLM prompt templates to ensure minor phrasing updates do not collapse model instruction-following behavior?,MAIN QUESTIONS
AR_103,"If a model’s reasoning contradicts a hard business rule, or if safety filters/bouncers are bypassed, does the system automatically default to a documented 'safe failure' or fail-closed state?",MAIN QUESTIONS
AR_104,What percentage of programmatic guardrails deployed to intercept and neutralize adversarial requests that attempt to force the model into infinite loops or computationally expensive recursive reasoning??,MAIN QUESTIONS
AR_105,"Are AI agents and automated scripts governed by unique, cryptographically verifiable identities (rotated daily) that explicitly distinguish them from human users, ensuring they operate with scoped, row-level least privilege rather than as superusers?",MAIN QUESTIONS
AR_106,"Is Format-Preserving Encryption (FPE) utilized during data transformation, allowing the AI to process structurally valid but cryptographically secure strings instead of raw SSNs/credit cards?",MAIN QUESTIONS
