QID,Question_Group
AR_01,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_02,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_03,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_04,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_05,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_06,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_07,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_08,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_09,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_10,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_11,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_12,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_13,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_14,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_15,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_16,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_17,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_18,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_19,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_20,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_21,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_22,"Question Group 006: Quantifying residual AI risk, maintaining dynamic risk dashboards, and formally integrating outcomes into Enterprise Risk Management (ERM) registers and corporate liability insurance."
AR_23,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_24,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_25,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_26,"Question Group 017: Conducting red-teaming, adversarial stress-testing (RAG poisoning, model inversion/privacy attacks), and data poisoning defense."
AR_27,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_28,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_29,"Question Group 020: Scanning for, restricting, and remediating unauthorized or ""shadow"" AI tools."
AR_30,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_31,"Question Group 035: Executing AI FinOps, configuring granular token-based rate limiting, managing cloud compute cost circuit breakers, and enforcing global utilization quotas."
AR_32,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_33,"Question Group 050: Architecting technical privacy controls, including pre-ingestion PII redaction buffers, data minimization, and geofencing."
AR_34,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_35,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_36,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_37,"Question Group 038: Auditing feature engineering pipelines to strictly isolate transformations, prevent data leakage, verify fairness representations, and test embedding reversibility."
AR_38,"Question Group 038: Auditing feature engineering pipelines to strictly isolate transformations, prevent data leakage, verify fairness representations, and test embedding reversibility."
AR_39,"Question Group 038: Auditing feature engineering pipelines to strictly isolate transformations, prevent data leakage, verify fairness representations, and test embedding reversibility."
AR_40,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_41,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_42,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_43,"Question Group 038: Auditing feature engineering pipelines to strictly isolate transformations, prevent data leakage, verify fairness representations, and test embedding reversibility."
AR_44,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_45,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_46,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_47,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_48,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_49,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_50,"Question Group 015: Configuring continuous live monitoring for model drift, concept drift, reasoning drift, and automated business-logic anomalies (pricing, margin erosion)."
AR_51,"Question Group 036: Automating data ingestion rights verification, cryptographic lineage tracking, schema validation, and enforcing WORM storage for immutable training sets."
AR_52,"Question Group 051: Auditing enterprise datasets to identify representational bias, prevent data leakage, and mitigate recursive model collapse."
AR_53,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_54,"Question Group 040: Architecting dynamic, Zero Trust Data Access Controls (DAC) that continuously evaluate user intent, behavioral risk levels, and contextual heuristics rather than static roles."
AR_55,"Question Group 038: Auditing feature engineering pipelines to strictly isolate transformations, prevent data leakage, verify fairness representations, and test embedding reversibility."
AR_56,"Question Group 039: Governing AI data catalogs, persistent metadata tagging, automated PII discovery, and human-in-the-loop data stewardship workflows."
AR_57,"Question Group 037: Architecting advanced AI data security, including pre-ingestion PII redaction buffers, Data Loss Prevention (DLP), HYOK encryption, and identity-based decryption."
AR_58,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
AR_59,"Question Group 029: Implementing fraud detection, bot mitigation, and cybersecurity controls against external AI threats (deepfakes, synthetic identities)."
AR_60,"Question Group 034: Deploying and managing runtime input/output guardrails, semantic intent classifiers, prompt injection defenses, and safe-failure degradation architectures."
AR_61,"Question Group 033: Governing autonomous AI agent identity federation, scoped API permissions, credential brokering, and dynamic context-aware access controls."
