QID,Risk_Category
AR_01,agents_and_agent_orchestration
AR_02,agents_and_agent_orchestration
AR_03,data_access_control_usage
AR_04,ai_system_security_adversarial_risk
AR_05,ai_system_security_adversarial_risk
AR_06,ai_system_security_adversarial_risk
AR_07,ai_system_security_adversarial_risk
AR_08,agents_and_agent_orchestration
AR_09,third_party_vendor_supply_chain
AR_10,mlops_model_operations_management
AR_11,mlops_model_operations_management
AR_12,mlops_model_operations_management
AR_13,intellectual_property_rights
AR_14,data_governance_quality_lineage_enterprise
AR_15,intellectual_property_rights
AR_16,data_governance_quality_lineage_enterprise
AR_17,ai_system_security_adversarial_risk
AR_18,ai_system_security_adversarial_risk
AR_19,incident_response_recovery
AR_20,data_security_protection
AR_21,privacy_personal_data_protection
AR_22,risk_management_liability_insurance
AR_23,ai_system_security_adversarial_risk
AR_24,ai_system_security_adversarial_risk
AR_25,model_validation_testing
AR_26,ai_system_security_adversarial_risk
AR_27,privacy_personal_data_protection
AR_28,agents_and_agent_orchestration
AR_29,shadow_unauthorized_ai
AR_30,data_governance_quality_lineage_enterprise
AR_31,mlops_model_operations_management
AR_32,data_security_protection
AR_33,legal_regulatory_compliance
AR_34,data_access_control_usage
AR_35,data_security_protection
AR_36,ai_system_security_adversarial_risk
AR_37,model_training_data_management
AR_38,bias_fairness_discrimination
AR_39,ai_system_security_adversarial_risk
AR_40,data_governance_quality_lineage_enterprise
AR_41,data_governance_quality_lineage_enterprise
AR_42,ai_system_security_adversarial_risk
AR_43,model_training_data_management
AR_44,data_governance_quality_lineage_enterprise
AR_45,data_governance_quality_lineage_enterprise
AR_46,data_governance_quality_lineage_enterprise
AR_47,data_governance_quality_lineage_enterprise
AR_48,privacy_personal_data_protection
AR_49,data_governance_quality_lineage_enterprise
AR_50,model_monitoring_drift_management
AR_51,audit_assurance_review
AR_52,model_training_data_management
AR_53,human_oversight_intervention
AR_54,data_access_control_usage
AR_55,bias_fairness_discrimination
AR_56,data_security_protection
AR_57,data_access_control_usage
AR_58,agents_and_agent_orchestration
AR_59,ai_system_security_adversarial_risk
AR_60,ai_system_security_adversarial_risk
AR_61,data_security_protection
AR_62,ai_system_security_adversarial_risk
AR_63,data_security_protection
AR_64,model_monitoring_drift_management
AR_65,model_monitoring_drift_management
AR_66,agents_and_agent_orchestration
AR_67,model_monitoring_drift_management
AR_68,agents_and_agent_orchestration
AR_69,model_validation_testing
AR_70,mlops_model_operations_management
AR_71,ai_system_security_adversarial_risk
AR_72,cloud_provider_technical_environment
AR_73,cloud_provider_technical_environment
AR_74,ai_system_security_adversarial_risk
AR_75,cloud_provider_technical_environment
AR_76,ai_system_security_adversarial_risk
AR_77,agents_and_agent_orchestration
AR_78,cloud_provider_technical_environment
AR_79,cloud_provider_technical_environment
AR_80,cloud_provider_technical_environment
AR_81,cloud_provider_technical_environment
AR_82,data_governance_quality_lineage_enterprise
AR_83,data_security_protection
AR_84,cloud_provider_technical_environment
AR_85,cloud_provider_technical_environment
AR_86,cloud_provider_technical_environment
AR_87,cloud_provider_technical_environment
AR_88,ai_system_security_adversarial_risk
AR_89,mlops_model_operations_management
AR_90,ai_system_security_adversarial_risk
AR_91,legal_regulatory_compliance
AR_92,agents_and_agent_orchestration
AR_93,audit_assurance_review
AR_94,ai_system_security_adversarial_risk
AR_95,ai_system_security_adversarial_risk
AR_96,mlops_model_operations_management
AR_97,ai_system_security_adversarial_risk
AR_98,privacy_personal_data_protection
AR_99,data_governance_quality_lineage_enterprise
AR_100,data_access_control_usage
AR_101,data_access_control_usage
AR_102,LLM_prompting
AR_103,human_oversight_intervention
AR_104,ai_system_security_adversarial_risk
AR_105,data_access_control_usage
AR_106,privacy_personal_data_protection
AR_107,data_access_control_usage
AR_108,data_access_control_usage
AR_109,accountability_responsibility_assignment_formal
AR_110,data_access_control_usage
AR_111,agents_and_agent_orchestration
AR_112,data_security_protection
AR_113,model_training_data_management
AR_114,privacy_personal_data_protection
AR_115,mlops_model_operations_management
AR_116,deployment_release_management
AR_117,agents_and_agent_orchestration
AR_118,human_oversight_intervention
AR_119,incident_response_recovery
AR_120,cloud_provider_technical_environment
AR_121,cloud_provider_technical_environment
AR_122,cloud_provider_technical_environment
AR_123,board_executive_oversight
AR_124,third_party_vendor_supply_chain
AR_125,cloud_provider_technical_environment
AR_126,cloud_provider_technical_environment
AR_127,cloud_provider_technical_environment
AR_128,cloud_provider_technical_environment
AR_129,cloud_provider_technical_environment
AR_130,cloud_provider_technical_environment
AR_131,data_security_protection
AR_132,incident_response_recovery
AR_133,cloud_provider_technical_environment
AR_134,data_governance_quality_lineage_enterprise
AR_135,data_governance_quality_lineage_enterprise
AR_136,cloud_provider_technical_environment
AR_137,cloud_provider_technical_environment
AR_138,cloud_provider_technical_environment
AR_139,cloud_provider_technical_environment
AR_140,cloud_provider_technical_environment
AR_141,data_access_control_usage
AR_142,data_access_control_usage
AR_143,data_access_control_usage
AR_144,data_access_control_usage
AR_145,data_access_control_usage
AR_146,cloud_provider_technical_environment
AR_147,incident_response_recovery
AR_148,cloud_provider_technical_environment
AR_149,audit_assurance_review
AR_150,mlops_model_operations_management
AR_151,cloud_provider_technical_environment
AR_152,incident_response_recovery
AR_153,cloud_provider_technical_environment
AR_154,incident_response_recovery
AR_155,incident_response_recovery
AR_156,cloud_provider_technical_environment
AR_157,cloud_provider_technical_environment
AR_158,cloud_provider_technical_environment
AR_159,cloud_provider_technical_environment
AR_160,third_party_vendor_supply_chain
AR_161,policies_procedures_documentation
AR_162,policies_procedures_documentation
AR_163,policies_procedures_documentation
AR_164,policies_procedures_documentation
AR_165,policies_procedures_documentation
AR_166,staff_training_ai_literacy
AR_167,ai_governance_framework
AR_168,roles_responsibilities_competence_working
AR_169,ai_governance_framework
AR_170,human_oversight_intervention
AR_171,roles_responsibilities_competence_working
AR_172,ai_governance_framework
AR_173,ai_governance_framework
AR_174,ai_governance_framework
AR_175,ai_governance_framework
AR_176,roles_responsibilities_competence_working
AR_177,incident_response_recovery
AR_178,risk_management_liability_insurance
AR_179,audit_assurance_review
AR_180,accountability_responsibility_assignment_formal
AR_181,accountability_responsibility_assignment_formal
AR_182,meta_cognitive_meta_governance
AR_183,ai_governance_framework
AR_184,ai_system_inventory_register
AR_185,ai_system_inventory_register
AR_186,ai_governance_framework
AR_187,deployment_release_management
AR_188,data_governance_quality_lineage_enterprise
AR_189,data_governance_quality_lineage_enterprise
AR_190,bias_fairness_discrimination
AR_191,data_governance_quality_lineage_enterprise
AR_192,data_governance_quality_lineage_enterprise
AR_193,data_governance_quality_lineage_enterprise
AR_194,third_party_vendor_supply_chain
AR_195,ai_system_inventory_register
AR_196,third_party_vendor_supply_chain
AR_197,privacy_personal_data_protection
AR_198,ai_system_security_adversarial_risk
AR_199,intellectual_property_rights
AR_200,third_party_vendor_supply_chain
AR_201,cloud_provider_technical_environment
AR_202,cloud_provider_technical_environment
AR_203,cloud_provider_technical_environment
AR_204,model_performance_reliability
AR_205,environmental_sustainability_impact
AR_206,accountability_responsibility_assignment_formal
AR_207,roles_responsibilities_competence_working
AR_208,human_oversight_intervention
AR_209,roles_responsibilities_competence_working
AR_210,staff_training_ai_literacy
AR_211,third_party_vendor_supply_chain
AR_212,deployment_release_management
AR_213,ai_impact_assessment
AR_214,ai_impact_assessment
AR_215,ai_impact_assessment
AR_216,ai_impact_assessment
AR_217,ai_impact_assessment
AR_218,human_oversight_intervention
AR_219,risk_management_liability_insurance
AR_220,audit_assurance_review
AR_221,risk_management_liability_insurance
AR_222,policies_procedures_documentation
AR_223,stakeholder_communication_disclosure
AR_224,incident_response_recovery
AR_225,audit_assurance_review
AR_226,bias_fairness_discrimination
AR_227,risk_management_liability_insurance
AR_228,legal_regulatory_compliance
AR_229,stakeholder_communication_disclosure
AR_230,mlops_model_operations_management
AR_231,policies_procedures_documentation
AR_232,policies_procedures_documentation
AR_233,policies_procedures_documentation
AR_234,accountability_responsibility_assignment_formal
AR_235,data_governance_quality_lineage_enterprise
AR_236,bias_fairness_discrimination
AR_237,model_development_other
AR_238,audit_assurance_review
AR_239,mlops_model_operations_management
AR_240,model_monitoring_drift_management
AR_241,mlops_model_operations_management
AR_242,human_oversight_intervention
AR_243,model_training_data_management
