QID,Jurisdiction
AR_US_FED_01,"USA - Federal (Title VII Civil Rights Act 1964, employment discrimination)"
AR_US_FED_02,"USA - Federal (Equal Credit Opportunity Act, Regulation B, fair lending)"
AR_US_FED_03,"USA - Federal (Fair Credit Reporting Act 15 USC 1681, consumer reports)"
AR_US_FED_04,"USA - Federal (FTC Act Section 5, unfair or deceptive practices)"
AR_US_FED_05,"USA - Federal (HIPAA Privacy Rule 45 CFR Part 160 and 164, healthcare)"
AR_US_FED_06,"USA - Federal (Americans with Disabilities Act 42 USC 12101, disability discrimination)"
AR_US_FED_07,"USA - Federal (Age Discrimination in Employment Act 29 USC 621, employment)"
AR_US_FED_08,"USA - Federal (Fair Housing Act 42 USC 3601, housing discrimination)"
AR_US_FED_09,"USA - Federal (HIPAA Security Rule 45 CFR 164.308-316, healthcare security)"
AR_US_FED_10,"USA - Federal (FDA Software as Medical Device, 21 CFR Parts 814/820, medical AI)"
AR_TX_01,"USA - Texas (Texas Data Privacy and Security Act, effective July 2024)"
AR_TX_02,"USA - Texas (Texas Data Privacy and Security Act, sensitive data consent)"
AR_TX_03,"USA - Texas (Capture or Use of Biometric Identifier Act, Tex Bus & Com § 503.001)"
AR_TX_04,"USA - Texas (Texas Data Privacy and Security Act, data protection assessments)"
AR_ON_PHIPA_01,"Canada - Ontario (Personal Health Information Protection Act 2004, healthcare AI)"
AR_ON_PHIPA_02,"Canada - Ontario (Personal Health Information Protection Act, patient access rights)"
AR_ON_PHIPA_03,"Canada - Ontario (Personal Health Information Protection Act, agent agreements)"
AR_QC_FRENCH_01,"Canada - Quebec (Charter of the French Language, Bill 96, language requirements)"
AR_QC_FRENCH_02,"Canada - Quebec (Charter of the French Language, Bill 96, AI language capability)"
AR_NY_DFS_01,"USA - New York (DFS Cybersecurity Regulation 23 NYCRR 500, financial services)"
AR_NY_DFS_02,"USA - New York (DFS Cybersecurity Regulation 23 NYCRR 500.11, vendor management)"
AR_EU_DSA_01,"European Union (Digital Services Act Article 27, recommender systems)"
AR_EU_DSA_02,"European Union (Digital Services Act Articles 33-35, Very Large Online Platforms)"
AR_EU_DSA_03,"European Union (Digital Services Act Article 26, online advertising transparency)"
AR_EU_MDR_01,"European Union (Medical Device Regulation 2017/745, AI medical devices)"
AR_EU_MDR_02,"European Union (Medical Device Regulation 2017/745, quality management)"
AR_EU_MIFID_01,"European Union (MiFID II Directive 2014/65, algorithmic trading)"
AR_EU_DATA_ACT_01,"European Union (Data Act, data access and portability)"
