QID,Option_Order,Answer_Option
AR_01,1,Yes - Secure token refresh used
AR_01,2,Partial - Token refresh partially used
AR_01,3,No - Static credentials used
AR_01,4,Not Applicable - No long-running agents
AR_02,1,Yes - AI anomaly rules configured
AR_02,2,Partial - Only general monitoring
AR_02,3,No - No monitoring for AI agents
AR_02,4,Not Applicable - No AI agents present
AR_03,1,Low (0-33%)
AR_03,2,Moderate (34-66%)
AR_03,3,High (67-100%)
AR_03,4,Not Applicable
AR_04,1,Low (0-33%)
AR_04,2,Moderate (34-66%)
AR_04,3,High (67-100%)
AR_04,4,Not Applicable
AR_05,1,Yes - Detects advanced leakage risks
AR_05,2,Partial - Basic output filtering
AR_05,3,No - No output filtering
AR_05,4,Not Applicable - No external outputs
AR_06,1,"Yes - Secure storage, no exposure"
AR_06,2,Partial - Partially protected
AR_06,3,No - Credentials exposed
AR_06,4,Not Applicable - No external credentials
AR_07,1,Yes - Strong SSRF protection
AR_07,2,Partial - Limited protection
AR_07,3,No - No protection
AR_07,4,Not Applicable - No external API calls
AR_08,1,Yes - Context-based access control
AR_08,2,Partial - Mixed control (context + static)
AR_08,3,No - Static access only
AR_08,4,Not Applicable - No API usage
AR_09,1,Yes - Strong integrity checks
AR_09,2,Partial - Basic validation only
AR_09,3,No - No validation
AR_09,4,Not Applicable - No external tools
AR_10,1,Yes - Human traffic prioritized
AR_10,2,Partial - Partial prioritization
AR_10,3,No - No prioritization
AR_10,4,Not Applicable - No workload difference
AR_11,1,Yes - Dynamic cost-based limits with quotas
AR_11,2,Partial - Basic limits without full cost control
AR_11,3,No - Static or no rate limiting
AR_11,4,Not Applicable - No token-based billing
AR_12,1,Low (0-33%)
AR_12,2,Moderate (34-66%)
AR_12,3,High (67-100%)
AR_12,4,Not Applicable
AR_13,1,Yes - Full legal and consent validation
AR_13,2,Partial - Partial metadata checks
AR_13,3,No - No validation of rights/consent
AR_13,4,Not Applicable - No external data ingestion
AR_14,1,Yes - Full traceability to raw data
AR_14,2,Partial - Limited traceability
AR_14,3,No - No traceability
AR_14,4,Not Applicable - No training data tracking needed
AR_15,1,Yes - Strict schema with signed validation
AR_15,2,Partial - Schema enforced without signatures
AR_15,3,No - No schema enforcement
AR_15,4,Not Applicable - No third-party data inputs
AR_16,1,Yes - Append-only tamper-proof logs
AR_16,2,Partial - Logs exist but not tamper-proof
AR_16,3,No - No logging of changes
