ID,Rationale / Explanation,,,,
AR_01,"Prevents compromised agents from running indefinitely with stolen credentials. Agents use short-lived OAuth2/OIDC tokens (1-4 hour expiry) that auto-refresh through identity brokers.

Check:
• Token expiration settings in identity provider
• Automatic refresh mechanism exists
• No permanent API keys in agent configs

Common mistake: Using API keys valid for months instead of expiring tokens.

Ask: Engineering/DevOps team",,,,AR_01
AR_02,"AI agents can execute thousands of operations per minute—far beyond human capacity. Specialized SIEM rules detect when agents are compromised or behaving abnormally.

Check:
• AI agent identities tagged in SIEM
• Alert rules for velocity anomalies (requests/minute)
• Alerts for unusual access patterns/times

Ask: Security Operations/SOC team",,,,AR_02
AR_03,"Eliminates standing privileges that could be exploited. Agents start with zero permissions and receive only exact access needed for each task, then lose it immediately.

Check:
• Agents have no default permissions when idle
• Temporary permissions granted per task
• Automatic permission revocation after use

Common mistake: Giving agents broad permanent permissions for convenience.

Ask: IAM/Security team",,,,AR_03
AR_04,"Catches prompt injection attacks before they reach your main AI model—like security screening before entering a building. Fast, lightweight SLMs detect malicious patterns (jailbreaks, encoded attacks).

Check:
• Filtering layer exists before main LLM
• Architecture diagrams show security component
• SLM classifier or commercial prompt firewall deployed

Ask: AI Engineering team",,,,AR_04
AR_05,"Prevents attackers from using AI responses to reverse-engineer private training data or determine if specific individuals' data was used in training—critical for privacy compliance.

Check:
• Output filters scan for data leakage patterns
• Detection of repeated extraction queries
• Monitoring for statistical inference attempts

Common mistake: Only filtering obvious PII, missing sophisticated extraction attacks.

Ask: AI Security/Data Privacy team",,,,AR_05
AR_06,"Protects expensive API credentials from theft. Secure gateway/proxy handles authentication behind the scenes so agents and users never see actual API keys.

Check:
• Credentials stored in secure vault (AWS Secrets Manager, Azure Key Vault)
• API keys NOT in code, environment variables, or logs
• Backend service injects credentials, not frontend

Ask: Engineering/Platform team",,,,AR_06
AR_07,"Prevents AI agents from being tricked into attacking your internal network. Without SSRF protection, malicious prompts could make AI send requests to internal servers or cloud metadata services.

Check:
• URL/API allowlist for permitted external services
• Blocking of private IP ranges (10.x, 192.168.x, 127.0.0.1)
• Cloud metadata endpoints blocked

Ask: Security/Network team",,,,AR_07
AR_08,"Ensures agents only access resources relevant to their current task. If summarizing Invoice_A, agent shouldn't access Invoice_B or payroll data, even with general ""read"" permission.

Check:
• Access controls verify task/session context
• API calls include task identifiers
• Authorization checks ""Is data related to current task?""

Ask: Engineering/IAM team",,,,AR_08
AR_09,"Prevents attackers from poisoning the AI's tools. Compromised calculators, converters, or connectors make all AI outputs unreliable or malicious.

Check:
• Tools have digital signatures or checksums
• Tool registry with approved versions
• System rejects unsigned/modified tools

Common mistake: Installing plugins from GitHub without verifying authenticity.

Ask: AI Engineering/Security team",,,,AR_09
AR_10,"Ensures humans waiting for real-time AI responses don't experience delays because batch jobs are consuming all compute resources.

Check:
• Network/load balancer has traffic prioritization rules
• Separate queues for interactive vs. batch workloads
• Interactive requests maintain <2sec response during batch processing

Ask: Infrastructure/DevOps team",,,,AR_10
AR_11,"Prevents GPU starvation and cost overruns by adjusting rate limits based on actual token costs. Different models have different pricing—GPT-4 costs more than GPT-3.5, and output tokens typically cost more than input tokens.

Check:
• Rate limits adjust based on model token pricing
• Global FinOps quotas enforced across all users
• Input/output tokens tracked separately
• Per-user fairness maintained

Ask: Engineering/FinOps team",,,,AR_11
AR_12,"Saves costs by automatically downgrading to cheaper models when budgets are exhausted. Instead of blocking users when premium tokens run out, system routes to smaller, less expensive models.

Check:
• Auto-routing logic to cheaper models exists
• Seamless user experience during downgrade
• Cost thresholds trigger model switching

Common mistake: Blocking all AI access instead of degrading gracefully to cheaper models.

Ask: Engineering/FinOps team",,,,AR_12
AR_13,"Prevents legal liability from using unlicensed or non-consented data in training. Using data without proper rights can invalidate your model and trigger regulatory penalties.

Check:
• Legal rights verification before ingestion
• User consent validation automated
• Third-party license metadata checked (Hugging Face, etc.)
• Rejection of data without proper rights

Ask: Legal/Data Governance team",,,,AR_13
AR_14,"Enables regulatory audits by tracing any AI output back to its source training data. Critical for proving compliance when regulators question how a model reached a specific decision.

Check:
• Cryptographic signatures link outputs to model versions
• Model versions linked to exact training datasets
• Raw data provenance fully documented
• 72-hour audit response capability

Ask: Data Governance/Compliance team",,,,AR_14
