COMPLIANCE MAPPING DB  —  ISO/IEC 42001:2023 | NIST AI RMF 1.0 | OWASP LLM Top 10 | EU AI Act 2024  |  122 questions × 4 frameworks,,,,,,,,,,,,,,
QID Code,Component Group,Question,Severity,"Max Risk
Score /100","Risk
Count","Compliance
Priority","ISO 42001
Clauses (Short)","NIST RMF
Functions (Short)","OWASP
References (Short)","EU AI Act
Articles (Short)","ISO/IEC 42001:2023
(Full Reference)","NIST AI RMF 1.0
(Full Reference)","OWASP LLM Top 10
(Full Reference)","EU AI Act 2024
(Full Reference)"
AR_51,Tools & API Integrations,Do u have strategy for Token Expiry vs. Long-Running AI Tasks?,High,9.7,3,🟠 High,Clause 6.1.2 | Annex A.6.1,GOVERN 1.2 | MANAGE 2.2,LLM09 - Overreliance,"Art. 9 (Risk management system) | Art. 15 (Accuracy, robustness, cybersecurity)","ISO/IEC 42001:2023 Clause 6.1.2 (AI risk assessment), Annex A.6.1 (AI system lifecycle controls)","NIST AI RMF 1.0 GOVERN 1.2 (policies for AI risk), MANAGE 2.2 (mechanisms for AI risk response)",OWASP LLM Top 10: LLM09 - Overreliance (session and token management failure),"EU AI Act Art. 9 (Risk management system), Art. 15 (Accuracy, robustness, cybersecurity)"
AR_52,Tools & API Integrations,"Do you distinguishing between a ""Human User"" and an ""Autonomous AI Agent"" in your federation logic?",High,9.7,2,🟠 High,Clause 6.1.2 | Annex A.2.2,GOVERN 1.1 | MAP 1.1 | GOVERN 6.1,LLM08 - Excessive Agency,Art. 12 (Record-keeping) | Art. 13 (Transparency and provision of information to users),"ISO/IEC 42001:2023 Clause 6.1.2 (AI risk assessment), Annex A.2.2 (Roles and responsibilities for AI)","NIST AI RMF 1.0 GOVERN 1.1 (AI risk policies), MAP 1.1 (context for AI risk), GOVERN 6.1 (AI policies for third-party entities)",OWASP LLM Top 10: LLM08 - Excessive Agency (autonomous agent identity and scope),"EU AI Act Art. 12 (Record-keeping), Art. 13 (Transparency and provision of information to users)"
AR_53,Guardrails / Safety,"Do  you using ""Scoped"" Permissions, or does a valid login grant access to every model in the company?",High,9.7,2,🟠 High,Annex A.6.1 | Annex A.9.3,GOVERN 1.2 | MANAGE 2.4,LLM08 - Excessive Agency,Art. 9 (Risk management) | Art. 15 (Cybersecurity and access controls),"ISO/IEC 42001:2023 Annex A.6.1 (AI system controls), Annex A.9.3 (Access control for AI systems)","NIST AI RMF 1.0 GOVERN 1.2 (policies for least privilege), MANAGE 2.4 (mechanisms to ensure AI system trustworthiness)",OWASP LLM Top 10: LLM08 - Excessive Agency (overly permissive function scope),"EU AI Act Art. 9 (Risk management), Art. 15 (Cybersecurity and access controls)"
AR_54,Prompt Engineering,"Does your Prompt Shield analyze the content of ""System Prompt"" injections versus ""User Prompt"" injections?",Critical,15.94,2,🔴 Immediate,Clause 8.4 | Annex A.6.2,MEASURE 2.5 | MANAGE 2.2,LLM01 - Prompt Injection,Art. 9 (Risk management system) | Art. 15 (Robustness and cybersecurity for high-risk AI),"ISO/IEC 42001:2023 Clause 8.4 (AI system operation controls), Annex A.6.2 (AI data governance)","NIST AI RMF 1.0 MEASURE 2.5 (AI system robustness), MANAGE 2.2 (response to AI vulnerabilities)",OWASP LLM Top 10: LLM01 - Prompt Injection (system prompt override detection),"EU AI Act Art. 9 (Risk management system), Art. 15 (Robustness and cybersecurity for high-risk AI)"
AR_55,Guardrails / Safety,"Is your Output Filter capable of detecting ""Model Inversion"" or ""Membership Inference"" attacks?",High,8.04,2,🟠 High,Annex A.6.2 | Annex A.10.1,MEASURE 2.5 | MANAGE 2.4,LLM02 - Insecure Output Handling | LLM06 - Sensitive Information Disclosure,Art. 10 (Data governance) | Art. 15 (Accuracy and cybersecurity requirements),"ISO/IEC 42001:2023 Annex A.6.2 (Data for AI systems), Annex A.10.1 (Privacy protection in AI)","NIST AI RMF 1.0 MEASURE 2.5 (AI system privacy and security), MANAGE 2.4 (trustworthiness mechanisms)","OWASP LLM Top 10: LLM02 - Insecure Output Handling, LLM06 - Sensitive Information Disclosure","EU AI Act Art. 10 (Data governance), Art. 15 (Accuracy and cybersecurity requirements)"
AR_56,Tools & API Integrations,"How does your gateway handle provider credentials (e.g., OpenAI API Keys) without exposing them to the ""Autonomous Agent"" or ""End-User""?",High,9.7,2,🟠 High,Annex A.9.3 | Annex A.6.1,GOVERN 1.2 | MANAGE 2.2,LLM10 - Model Theft | LLM08 - Excessive Agency,Art. 9 (Risk management) | Art. 15 (Cybersecurity measures for high-risk AI systems),"ISO/IEC 42001:2023 Annex A.9.3 (Access to AI systems), Annex A.6.1 (AI system lifecycle controls)","NIST AI RMF 1.0 GOVERN 1.2 (credential management policies), MANAGE 2.2 (security controls for AI)","OWASP LLM Top 10: LLM10 - Model Theft, LLM08 - Excessive Agency (credential exposure to agents)","EU AI Act Art. 9 (Risk management), Art. 15 (Cybersecurity measures for high-risk AI systems)"
AR_57,Guardrails / Safety,"Does your API connectivity layer protect against Server-Side Request Forgery (SSRF) when the AI ""decides"" to call an external tool?",Critical,12.75,2,🔴 Immediate,Clause 8.4 | Annex A.6.1,MEASURE 2.5 | MANAGE 2.2,LLM08 - Excessive Agency,Art. 9 (Risk management system) | Art. 15 (Cybersecurity for high-risk AI),"ISO/IEC 42001:2023 Clause 8.4 (AI system operation), Annex A.6.1 (AI system security controls)","NIST AI RMF 1.0 MEASURE 2.5 (security and robustness), MANAGE 2.2 (AI vulnerability response)","OWASP LLM Top 10: LLM08 - Excessive Agency (unsafe tool execution), OWASP Top 10 A10:2021 - SSRF","EU AI Act Art. 9 (Risk management system), Art. 15 (Cybersecurity for high-risk AI)"
AR_58,Guardrails / Safety,"Can your gateway restrict an AI Agent’s API access based on the ""Task Context"" rather than a static permission?",High,10.2,2,🟠 High,Annex A.9.3 | Annex A.2.2,GOVERN 1.2 | MANAGE 2.4,LLM08 - Excessive Agency,Art. 14 (Human oversight measures) | Art. 9 (Risk management system),"ISO/IEC 42001:2023 Annex A.9.3 (Access control), Annex A.2.2 (AI roles and responsibilities)","NIST AI RMF 1.0 GOVERN 1.2 (least privilege policies), MANAGE 2.4 (AI trustworthiness controls)",OWASP LLM Top 10: LLM08 - Excessive Agency (context-unaware permissions),"EU AI Act Art. 14 (Human oversight measures), Art. 9 (Risk management system)"
AR_59,Tools & API Integrations,"How are you validating the ""Integrity"" of the tools provided to the AI via protocols like MCP?",High,10.73,3,🟠 High,Clause 8.4 | Annex A.5.2,GOVERN 6.1 | MEASURE 2.1,LLM03 - Supply Chain Vulnerabilities,Art. 9 (Risk management) | Art. 17 (Quality management system - third party controls),"ISO/IEC 42001:2023 Clause 8.4 (AI system operation), Annex A.5.2 (AI supply chain controls)","NIST AI RMF 1.0 GOVERN 6.1 (third-party AI risk), MEASURE 2.1 (AI system integrity testing)",OWASP LLM Top 10: LLM03 - Supply Chain Vulnerabilities (tool/plugin integrity verification),"EU AI Act Art. 9 (Risk management), Art. 17 (Quality management system - third party controls)"
AR_60,Tools & API Integrations,"How does your rate limiting distinguish between ""Input"" and ""Output"" tokens to prevent GPU starvation?",Medium,5.19,2,🟡 Medium,Clause 8.4 | Annex A.6.1,MEASURE 2.7 | MANAGE 2.2,LLM04 - Model Denial of Service,Art. 9 (Risk management) | Art. 15 (Robustness requirements for high-risk AI),"ISO/IEC 42001:2023 Clause 8.4 (AI operational controls), Annex A.6.1 (AI system performance controls)","NIST AI RMF 1.0 MEASURE 2.7 (AI system resilience and robustness), MANAGE 2.2 (resource management)",OWASP LLM Top 10: LLM04 - Model Denial of Service (token-based resource exhaustion),"EU AI Act Art. 9 (Risk management), Art. 15 (Robustness requirements for high-risk AI)"
