qid_code,question_text,component_group,function_tag,usecase_tag,role_tag,response_type,trigger_points,is_universal,nist_rmf,iso42001_clause,owasp_ref,guidance_text,risk_count,risk_ids,avg_risk_score,max_risk_score,avg_probability,avg_impact,total_weight,severity
AR_51,Do u have strategy for Token Expiry vs. Long-Running AI Tasks?,Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,3.0,R_AR_101|R_AR_102|R_AR_103,9.7,9.7,4.0,4.0,3.0,High
AR_52,"Do you distinguishing between a ""Human User"" and an ""Autonomous AI Agent"" in your federation logic?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_104|R_AR_105,9.7,9.7,4.0,4.0,1.3334,High
AR_53,"Do  you using ""Scoped"" Permissions, or does a valid login grant access to every model in the company?",Guardrails / Safety,Decision AI,IT Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_106|R_AR_107,9.7,9.7,4.0,4.0,1.3334,High
AR_54,"Does your Prompt Shield analyze the content of ""System Prompt"" injections versus ""User Prompt"" injections?",Prompt Engineering,All,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_108|R_AR_109,15.94,15.94,5.0,5.0,1.3334,Critical
AR_55,"Is your Output Filter capable of detecting ""Model Inversion"" or ""Membership Inference"" attacks?",Guardrails / Safety,Production AI,Cloud Architect,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_110|R_AR_111,8.04,8.04,3.0,4.0,1.3334,High
AR_56,"How does your gateway handle provider credentials (e.g., OpenAI API Keys) without exposing them to the ""Autonomous Agent"" or ""End-User""?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_112|R_AR_113,9.7,9.7,4.0,4.0,1.3334,High
AR_57,"Does your API connectivity layer protect against Server-Side Request Forgery (SSRF) when the AI ""decides"" to call an external tool?",Guardrails / Safety,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_114|R_AR_115,12.75,12.75,4.0,5.0,1.3334,Critical
AR_58,"Can your gateway restrict an AI Agent’s API access based on the ""Task Context"" rather than a static permission?",Guardrails / Safety,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_116|R_AR_117,10.2,10.2,4.0,4.0,1.3334,High
AR_59,"How are you validating the ""Integrity"" of the tools provided to the AI via protocols like MCP?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,3.0,R_AR_118|R_AR_119|R_AR_120,10.729999999999999,10.73,4.0,4.0,3.0,High
AR_60,"How does your rate limiting distinguish between ""Input"" and ""Output"" tokens to prevent GPU starvation?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_121|R_AR_122,5.19,5.19,3.0,3.0,1.3334,Medium
AR_61,"Does your rate limiting logic enforce ""Global"" quotas while maintaining ""Per-Identity"" fairness?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_123|R_AR_124,5.19,5.19,3.0,3.0,1.3334,Medium
AR_62,"Does your gateway dynamically adjust rate limits based on the ""Token Cost"" of different models?",Tools & API Integrations,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_125|R_AR_126,7.28,7.28,4.0,3.0,2.0,Medium
AR_63,How does the automated ingestion system verify that you have the legal rights or user consent to use this specific data for AI processing?,Data Processing,API Use,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_127|R_AR_128,7.28,7.28,3.5,3.5,1.6667,Medium
AR_64,Can the system provide a cryptographically verifiable 'birth certificate' for every data point used in the final model weights?,Data Processing,Training Data,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_129|R_AR_130,6.655,7.28,3.0,3.5,1.3334,Medium
AR_65,"For datasets sourced from 3rd parties or open-source (e.g., Hugging Face), do you  automated checks verify the license metadata and Terms of Service alignment to prevent legal ""poisoning""?",Data Processing,Model Training,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_131|R_AR_132,6.84,7.65,3.0,3.5,1.3334,Medium
AR_66,Is there a transparent 'audit trail' of every automated and manual modification made to the raw data before it became a feature?,Data Processing,All,Data Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_133|R_AR_134,7.285,7.65,3.0,4.0,1.3334,Medium
AR_67,does the system architecture enforce a logical separation between 'System Instructions' and 'User-Provided Data' to prevent instruction overriding?,Guardrails / Safety,Training Data,Data Scientist,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_135|R_AR_136,11.43,15.94,4.0,4.5,1.3334,Critical
AR_68,Do u have any automated mechanisms are in place to classify and block user intent that specifically targets 'Jailbreaking' or safety-filter bypass?,Guardrails / Safety,All,SOC Analyst,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_137|R_AR_138,14.035,15.94,5.0,4.5,1.3334,Critical
AR_69,"Do u consider ""Safe Failure"" protocol if a bouncer is bypassed?",Guardrails / Safety,All,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_139|R_AR_140,11.165,12.13,4.5,4.0,1.3334,Critical
AR_70,How is the AI system’s input monitored for sensitive data exfiltration?,Guardrails / Safety,All,Security Engineer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_141|R_AR_142,9.95,10.2,4.0,4.0,1.3334,High
AR_71,"Do u apply any ""Data Minimization"" are applied to the user's prompt?",Prompt Engineering,Sensitive Data AI,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_143|R_AR_144,7.58,9.7,3.5,3.5,1.3334,High
AR_72,"How do we handle ""Residual Risk"" if a piece of sensitive data bypasses the filter?",Guardrails / Safety,Sensitive Data AI,MLOps Lead,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_145|R_AR_146,6.555,7.65,3.0,3.5,1.0,Medium
AR_73,does your system technically distinguish between 'Trusted Developer Instructions' and 'Untrusted User Input' at the token level?,Prompt Engineering,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_147|R_AR_148,15.94,15.94,5.0,5.0,1.3334,Critical
AR_74,"do your detectors handle instructions that aren't entered by the user, but are retrieved from external sources like RAG databases or web searches?",Retrieval (RAG),Sensitive Data AI,Privacy Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_149|R_AR_150,16.76,16.76,5.0,5.0,1.3334,Critical
AR_75,"are the documented False Positive/Negative rates for your detector, and how does the system behave when a detection 'hit' occurs?",Guardrails / Safety,All,Risk Officer,Yes/No/partical/Non-applicable ,NO,YES,False,,,,,2.0,R_AR_151|R_AR_152,9.23,9.23,4.0,4.0,1.3334,High
